id	label	x	y
sample1	Group_5	1571	389
sample1	Group_9	2195	388
sample1	Group_5	1355	389
sample1	Group_5	2168	389
sample1	Group_9	1111	390
sample1	Group_2	1865	392
sample1	Group_6	1601	391
sample1	Group_1	2127	394
sample1	Group_9	1143	396
sample1	Group_5	1465	397
sample1	Group_5	1670	397
sample1	Group_5	2073	398
sample1	Group_6	2183	397
sample1	Group_9	716	398
sample1	Group_6	1952	396
sample1	Group_1	687	398
sample1	Group_6	752	395
sample1	Group_5	1482	398
sample1	Group_7	1320	402
sample1	Group_5	1921	400
sample1	Group_1	1103	406
sample1	Group_9	2098	400
sample1	Group_5	2137	406
sample1	Group_1	606	407
sample1	Group_9	1088	410
sample1	Group_6	1761	408
sample1	Group_1	2159	409
sample1	Group_6	1457	410
sample1	Group_6	1519	410
sample1	Group_9	1622	408
sample1	Group_6	1868	409
sample1	Group_9	1775	412
sample1	Group_5	2013	410
sample1	Group_5	2049	416
sample1	Group_5	1394	412
sample1	Group_5	1507	415
sample1	Group_1	806	414
sample1	Group_6	1689	414
sample1	Group_1	1328	417
sample1	Group_5	597	418
sample1	Group_1	2025	417
sample1	Group_9	1805	422
sample1	Group_9	2192	418
sample1	Group_2	1339	422
sample1	Group_9	887	424
sample1	Group_1	1452	430
sample1	Group_1	1383	425
sample1	Group_9	1855	426
sample1	Group_1	2029	428
sample1	Group_5	862	431
sample1	Group_1	2000	426
sample1	Group_5	1016	428
sample1	Group_2	2154	427
sample1	Group_5	2244	432
sample1	Group_1	1029	433
sample1	Group_2	1718	430
sample1	Group_9	1870	433
sample1	Group_5	1393	435
sample1	Group_6	1989	432
sample1	Group_5	1758	435
sample1	Group_9	1245	435
sample1	Group_1	1411	435
sample1	Group_6	1357	440
sample1	Group_9	1113	439
sample1	Group_5	1902	438
sample1	Group_2	1440	442
sample1	Group_9	652	449
sample1	Group_8	1402	445
sample1	Group_6	1306	448
sample1	Group_1	1341	450
sample1	Group_5	984	447
sample1	Group_7	1959	450
sample1	Group_9	2040	447
sample1	Group_9	2286	449
sample1	Group_5	2059	453
sample1	Group_7	1327	452
sample1	Group_5	2010	455
sample1	Group_2	1918	458
sample1	Group_1	1163	461
sample1	Group_9	2102	458
sample1	Group_2	1655	461
sample1	Group_8	1852	469
sample1	Group_6	1451	464
sample1	Group_9	945	470
sample1	Group_1	2076	470
sample1	Group_6	1665	472
sample1	Group_6	1622	475
sample1	Group_6	1461	475
sample1	Group_5	1783	478
sample1	Group_1	1909	476
sample1	Group_2	1192	476
sample1	Group_6	1491	476
sample1	Group_1	1933	480
sample1	Group_9	2230	480
sample1	Group_5	1901	479
sample1	Group_2	1407	477
sample1	Group_6	1536	481
sample1	Group_1	1175	480
sample1	Group_1	811	482
sample1	Group_5	1441	484
sample1	Group_5	1948	482
sample1	Group_6	1711	484
sample1	Group_6	1213	482
sample1	Group_1	864	486
sample1	Group_6	2028	490
sample1	Group_6	2289	488
sample1	Group_1	1626	491
sample1	Group_9	2153	489
sample1	Group_9	1847	491
sample1	Group_9	2096	493
sample1	Group_9	2308	493
sample1	Group_5	1561	492
sample1	Group_1	1728	493
sample1	Group_9	878	496
sample1	Group_5	1958	494
sample1	Group_1	657	497
sample1	Group_6	782	505
sample1	Group_9	1568	507
sample1	Group_1	2021	504
sample1	Group_5	1731	505
sample1	Group_5	2343	507
sample1	Group_5	1755	511
sample1	Group_5	1961	507
sample1	Group_9	1705	509
sample1	Group_5	2071	508
sample1	Group_9	824	512
sample1	Group_9	2047	521
sample1	Group_5	2237	513
sample1	Group_9	1094	512
sample1	Group_5	1481	522
sample1	Group_9	624	514
sample1	Group_5	2158	514
sample1	Group_6	1740	515
sample1	Group_5	928	522
sample1	Group_1	939	518
sample1	Group_1	1185	518
sample1	Group_9	1172	522
sample1	Group_5	1960	524
sample1	Group_7	1841	528
sample1	Group_5	807	526
sample1	Group_1	2224	528
sample1	Group_5	904	530
